FID,X,Y,MODIS LSAT (Reference),L8 LSAT Estimates
57,34.77656,-0.2749733,34.6757389,33.099722
58,34.6883,-0.136,29.8262291,29.672397
59,34.8431,-0.28705,32.192482,31.782982
60,34.6333,-0.33787,30.7712193,31.716781
61,34.1963,-0.32962,29.0684681,31.0684681
62,34.445,-0.51776,33.1838905,34.7987151
63,34.5773,-0.2749733,34.7814922,34.2214922
64,34.6762,-0.2664918,29.9735985,29.7815781
65,34.76276,-0.1754863,29.6154175,29.6154175
66,34.67268,-0.14808,29.8738117,31.9871896
67,34.23748,-0.1934752,32.8110428,32.6735573
68,34.3367,-0.1246985,28.3831978,29.7876385
69,34.22563,-0.2559218,33.2139473,31.6527897
70,34.7635,-0.128549,29.3614979,31.3614979
71,34.45276,-0.2816316,30.2175312,31.2872862
72,34.345289,-0.1504083,32.3694763,33.9862453
73,34.81456,-0.219185,31.0827217,32.7652746
74,34.3365,-0.2879617,29.7136602,31.7136602
75,34.34562,-0.23567384,29.6833458,28.7862752
76,34.52675,-0.26409568,28.1811638,27.8968926
77,34.5672,-0.27234,28.3718758,28.6757247
78,34.67734,-0.28058,29.3698616,27.9872681
79,34.452745,-0.28667,29.2672768,31.7891798
80,34.34366,-0.136,35.6752752,32.2849062
81,34.782678,-0.2559218,32.8923988,28.1923988
82,34.8776235,-0.128549,29.1595917,28.225917
83,34.4377,-0.2816316,30.381546,30.2338153
84,34.56543,-0.1504083,34.6934929,33.6934929
85,34.6274,-0.219185,34.2780361,34.2780361
86,34.73321,-0.2879617,34.154456,31.154456
87,34.2806,-0.23567384,29.294413,30.2933873
88,34.2291,-0.26409568,29.6113853,28.613542
89,34.1776,-0.27234,34.289875,33.557345
90,34.11261,-0.28058,26.9223622,27.175222
91,34.20746,-0.28667,35.9610672,34.7610672
92,34.30231,-0.136,27.5531559,29.2531559
93,34.39716,-0.28705,30.6280708,30.0280454
94,34.49201,-0.33787,29.4792519,32.4792519
95,34.58686,-0.32962,27.3820229,28.6209229
96,34.68171,-0.51776,30.697389,31.98292
97,34.77656,-0.2749733,28.6757389,28.099722
98,34.6883,-0.136,29.8262291,28.672397
99,34.8431,-0.28705,30.192482,29.782982
100,34.6333,-0.33787,28.7712193,27.716781
101,34.1963,-0.32962,28.0684681,30.0684681
102,34.445,-0.51776,30.1802885,29.7987151
103,34.5773,-0.2749733,29.7814922,28.2214922
104,34.6762,-0.2664918,29.9735985,31.7815781
105,34.76276,-0.1754863,27.6154175,27.6154175
106,34.67268,-0.14808,29.8738117,30.9871896
107,34.23748,-0.1934752,31.8110428,32.6735573
108,34.3367,-0.1246985,27.3831978,29.7876385
109,34.22563,-0.2559218,29.2139473,31.6527897
110,34.7635,-0.128549,27.3614979,31.3614979
111,34.45276,-0.2816316,30.2175312,29.2872862
112,34.345289,-0.1504083,26.3694763,27.9862453
113,34.81456,-0.219185,31.0827217,32.7652746
114,34.3365,-0.2879617,29.7136602,30.7136602
115,34.34562,-0.23567384,26.6833458,28.7867572
116,34.52675,-0.26409568,26.1811638,27.8968926
117,34.5672,-0.27234,29.3718758,28.6757247
118,34.67734,-0.28058,28.3698616,27.9872681
119,34.452745,-0.28667,28.2672768,29.7891798
120,34.34366,-0.136,28.6752752,29.2849062
121,34.452567,-0.28705,27.4146805,27.7881581
122,34.6834,-0.33787,27.4221497,28.8827872
123,34.675372,-0.32962,29.6123867,28.8753867
124,34.34627,-0.51776,30.7556686,26.5642622
125,34.22376,-0.2749733,27.3592726,27.7652742
126,34.16782,-0.2664918,28.5919514,29.2264722
127,34.56993,-0.1754863,29.7508106,28.992828
128,34.45237,-0.14808,29.3428097,29.3428097
129,34.4543,-0.1934752,31.4241199,29.4241199
130,34.675628,-0.1246985,34.7205408,31.5408688
131,34.782678,-0.2559218,32.8923988,31.1923988
132,34.8776235,-0.128549,35.1595917,33.2625917
133,34.4377,-0.2816316,30.6813546,30.7338153
134,34.56543,-0.1504083,34.6934929,32.6934929
135,34.6274,-0.219185,34.2780361,34.2780361
136,34.73321,-0.2879617,31.1544456,31.1544456
137,34.2806,-0.23567384,35.2988873,34.2988873
138,34.2291,-0.26409568,34.6113853,36.613542
139,34.1776,-0.27234,34.289875,34.557345
140,34.11261,-0.28058,26.9223622,27.175222
141,34.20746,-0.28667,32.961672,33.7610672
142,34.30231,-0.136,32.5531559,33.2531559
143,34.39716,-0.28705,30.6280708,30.0280454
144,34.49201,-0.33787,27.4792519,27.4792519
145,34.58686,-0.32962,27.3820229,28.620229
146,34.68171,-0.51776,28.697389,29.98292
147,34.77656,-0.2749733,28.6757389,27.099722
148,34.6883,-0.136,27.8262291,28.672397
149,34.8431,-0.28705,26.192482,27.782982
150,34.6333,-0.33787,30.7712193,31.716781
151,34.1963,-0.32962,33.1284681,32.0684681
152,34.445,-0.51776,30.1800885,29.7987151
153,34.5773,-0.2749733,29.7814922,29.2214922
154,34.6762,-0.2664918,27.9735985,28.7815781
155,34.76276,-0.1754863,35.6154175,37.6154175
156,34.67268,-0.14808,28.8738117,27.9871896
157,34.23748,-0.1934752,32.8110428,32.6735573
158,34.3367,-0.1246985,30.3831978,29.7876385
159,34.22563,-0.2559218,28.2139473,28.6527897
160,34.7635,-0.128549,28.3614979,29.3614979
161,34.45276,-0.2816316,29.2175312,28.2872862
162,34.345289,-0.1504083,28.3694763,29.9862453
163,34.81456,-0.219185,27.0827217,29.7652746
164,34.3365,-0.2879617,30.7136602,30.7136602
165,34.34562,-0.23567384,28.6833458,28.7867572
166,34.52675,-0.26409568,30.1811638,29.8968926
167,34.5672,-0.27234,31.3718758,30.6757247
168,34.67734,-0.28058,35.3698616,37.9872681
