FID,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
59,34.7268,-0.14808,44.897378,33.63873
60,34.23748,-0.1934752,45.2139473,40.6527897
61,34.83367,-0.1246985,34.390749,31.3614979
62,34.22563,-0.2559218,30.2175312,36.2872862
63,34.88635,-0.128549,22.3694763,25.9862453
64,34.45276,-0.2816316,21.0827217,22.7652746
65,34.3459,-0.1504083,12.7136602,15.4874602
66,34.8456,-0.219185,36.6833458,28.78627572
67,34.33265,-0.2879617,36.1811638,38.8968926
68,34.34562,-0.23567384,28.3718758,28.6757247
69,34.782675,-0.26409568,35.7638616,37.9872681
70,34.7672,-0.27234,20.2672768,21.7891798
71,34.17734,-0.28058,22.6752752,22.2849062
72,34.2745,-0.28667,48.4146805,44.7881581
73,34.3686,-0.136,23.4221497,20.8827872
74,34.452567,-0.28705,23.6123867,23.6123867
75,34.6834,-0.33787,35.7556686,33.5642622
76,34.6772,-0.32962,45.352726,44.7652742
77,34.8627,-0.51776,22.5919514,21.2264722
78,34.22376,-0.2749733,19.7508106,20.992828
79,34.15782,-0.2664918,29.3428097,29.3428097
80,34.56993,-0.1754863,21.4241199,34.4241199
81,34.45237,-0.14808,26.5408688,26.5408688
82,34.4543,-0.1934752,32.2393388,32.8923988
83,34.675628,-0.1246985,45.2395917,45.1595917
84,34.782678,-0.2559218,30.381546,33.782866
85,34.8776235,-0.128549,34.6934929,34.6934929
86,34.4377,-0.2816316,24.2780361,24.2780361
87,34.56543,-0.1504083,41.1544456,41.1544456
88,34.6274,-0.219185,14.2988873,14.379873
89,34.73321,-0.2879617,39.6113853,39.6113853
90,34.2806,-0.23567384,44.289875,40.785222
91,34.2291,-0.26409568,33.2923622,33.2923622
92,34.1776,-0.27234,25.9610672,25.9610672
93,34.11261,-0.28058,30.5531559,30.5531559
94,34.20746,-0.28667,30.6280708,30.6280708
95,34.30231,-0.136,30.4792519,25.88292
96,34.39716,-0.28705,-1.3820229,-1.236229
97,34.49201,-0.33787,13.8262291,11.672397
98,34.58686,-0.32962,11.192482,10.782982
99,34.68171,-0.51776,21.7712193,34.716781
100,34.77656,-0.2749733,31.0684681,34.75373
101,34.6883,-0.136,11.878885,11.189233
102,34.8431,-0.28705,25.7814922,24.092922
103,34.6333,-0.33787,24.9735985,19.7815781
104,34.1963,-0.32962,16.6154175,5.6154175
105,34.445,-0.51776,19.8738117,14.786333
106,34.5773,-0.2749733,34.096373,21.193703
107,34.6762,-0.2664918,44.997378,33.763873
108,34.76276,-0.1754863,45.2139473,40.6527897
109,34.67268,-0.14808,34.390749,31.3614979
110,34.23748,-0.1934752,30.2175312,36.2872862
111,34.3367,-0.1246985,22.3694763,25.9862453
112,34.22563,-0.2559218,21.0827217,22.7652746
113,34.7635,-0.128549,12.7136602,15.4874602
114,34.45276,-0.2816316,36.6833458,28.78627572
115,34.345289,-0.1504083,36.1811638,38.8968926
116,34.81456,-0.219185,28.3718758,28.6757247
117,34.3365,-0.2879617,35.7638616,37.9872681
118,34.34562,-0.23567384,20.2672768,21.7891798
119,34.52675,-0.26409568,22.6752752,22.2849062
120,34.5672,-0.27234,48.4146805,44.7881581
121,34.67734,-0.28058,23.4221497,20.8827872
122,34.452745,-0.28667,23.6123867,23.6123867
123,34.34366,-0.136,35.7556686,33.5642622
124,34.452567,-0.28705,45.352726,44.7652742
125,34.6834,-0.33787,22.5919514,21.2264722
126,34.675372,-0.32962,19.7508106,20.992828
127,34.34627,-0.51776,29.3428097,29.3428097
128,34.22376,-0.2749733,21.4241199,34.4241199
129,34.16782,-0.2664918,26.5408688,26.5408688
130,34.56993,-0.1754863,32.2393388,32.8923988
131,34.45237,-0.14808,45.2395917,45.1595917
132,34.4543,-0.1934752,30.381546,33.782866
133,34.675628,-0.1246985,34.6934929,34.6934929
134,34.782678,-0.2559218,24.2780361,24.2780361
135,34.8776235,-0.128549,41.1544456,41.1544456
136,34.4377,-0.2816316,14.2988873,14.379873
137,34.56543,-0.1504083,39.6113853,39.6113853
138,34.6274,-0.219185,44.289875,40.785222
139,34.73321,-0.2879617,33.2923622,33.2923622
140,34.2806,-0.23567384,25.9610672,25.9610672
141,34.2291,-0.26409568,30.5531559,30.5531559
142,34.1776,-0.27234,30.6280708,30.6280708
143,34.11261,-0.28058,30.4792519,25.88292
144,34.20746,-0.28667,-1.3820229,-1.236229
145,34.30231,-0.136,15.8262291,14.672397
146,34.39716,-0.28705,9.192482,6.782982
147,34.49201,-0.33787,22.7712193,34.716781
148,34.58686,-0.32962,28.0684681,36.75373
149,34.68171,-0.51776,11.878885,11.189233
150,34.77656,-0.2749733,25.7814922,24.092922
151,34.6883,-0.136,25.9735985,19.115781
152,34.8431,-0.28705,16.6154175,5.6154175
153,34.6333,-0.33787,19.8738117,14.786333
154,34.1963,-0.32962,34.999632,25.093703
155,34.445,-0.51776,44.997378,44.963873
156,34.5773,-0.2749733,45.2139473,40.6527897
157,34.6762,-0.2664918,34.390749,31.3614979
158,34.76276,-0.1754863,30.2175312,36.2872862
159,34.67268,-0.14808,22.3694763,25.9862453
160,34.23748,-0.1934752,21.0827217,22.7652746
161,34.3367,-0.1246985,12.7136602,15.4874602
162,34.22563,-0.2559218,36.6833458,28.78627572
163,34.7635,-0.128549,36.1811638,38.8968926
164,34.45276,-0.2816316,28.3718758,28.6757247
165,34.345289,-0.1504083,35.7638616,37.9872681
166,34.81456,-0.219185,20.2672768,21.7891798
167,34.3365,-0.2879617,22.6752752,22.2849062
168,34.34562,-0.23567384,48.4146805,44.7881581
169,34.52675,-0.26409568,23.4221497,20.8827872
170,34.5672,-0.27234,23.6123867,23.6123867
171,34.67734,-0.28058,35.7556686,33.5642622
172,34.452745,-0.28667,45.352726,44.7652742
173,34.34366,-0.136,22.5919514,21.2264722
174,34.452567,-0.28705,19.7508106,20.992828
175,34.6834,-0.33787,29.3428097,29.3428097
176,34.675372,-0.32962,21.4241199,34.4241199
177,34.34627,-0.51776,26.5408688,26.5408688
178,34.22376,-0.2749733,32.2393388,32.8923988
179,34.16782,-0.2664918,45.2395917,45.1595917
180,34.56993,-0.1754863,30.381546,33.782866
181,34.45237,-0.14808,34.6934929,34.6934929
182,34.4543,-0.1934752,24.2780361,24.2780361
183,34.675628,-0.1246985,41.1544456,41.1544456
184,34.782678,-0.2559218,14.2988873,14.379873
185,34.8776235,-0.128549,39.6113853,39.6113853
186,34.4377,-0.2816316,44.289875,40.785222
187,34.56543,-0.1504083,33.2923622,33.2923622
188,34.6274,-0.219185,25.9610672,25.9610672
189,34.73321,-0.2879617,30.5531559,30.5531559
190,34.2806,-0.23567384,30.6280708,30.6280708
191,34.2291,-0.26409568,30.4792519,25.88292
192,34.1776,-0.27234,-1.3820229,-1.236229
193,34.11261,-0.28058,14.8262291,16.672397
194,34.20746,-0.28667,13.192482,6.782982
195,34.30231,-0.136,22.7712193,34.716781
196,34.39716,-0.28705,29.0684681,36.75373
197,34.49201,-0.33787,11.878885,11.189233
198,34.58686,-0.32962,25.7814922,24.092922
199,34.68171,-0.51776,29.9735985,19.785781
200,34.77656,-0.2749733,16.6154175,5.6154175
201,34.6883,-0.136,19.8738117,14.786333
202,34.8431,-0.28705,29.896373,21.093703
203,34.6333,-0.33787,44.897378,44.63873
204,34.1963,-0.32962,45.2139473,40.6527897
205,34.445,-0.51776,34.390749,31.3614979
206,34.5773,-0.2749733,30.2175312,36.2872862
207,34.6762,-0.2664918,22.3694763,25.9862453
208,34.76276,-0.1754863,21.0827217,22.7652746
209,34.67268,-0.14808,12.7136602,15.4874602
210,34.23748,-0.1934752,36.6833458,28.78627572
211,34.3367,-0.1246985,36.1811638,38.8968926
212,34.22563,-0.2559218,28.3718758,28.6757247
213,34.7635,-0.128549,35.7638616,37.9872681
214,34.45276,-0.2816316,20.2672768,21.7891798
215,34.345289,-0.1504083,22.6752752,22.2849062
216,34.81456,-0.219185,48.4146805,44.7881581
217,34.3365,-0.2879617,23.4221497,20.8827872
218,34.34562,-0.23567384,23.6123867,23.6123867
219,34.52675,-0.26409568,35.7556686,33.5642622
220,34.5672,-0.27234,45.352726,44.7652742
221,34.67734,-0.28058,22.5919514,21.2264722
222,34.452745,-0.28667,19.7508106,20.992828
223,34.34366,-0.136,29.3428097,29.3428097
224,34.452567,-0.28705,21.4241199,34.4241199
225,34.6834,-0.33787,26.5408688,26.5408688
226,34.675372,-0.32962,32.2393388,32.8923988
227,34.34627,-0.51776,45.2395917,45.1595917
228,34.22376,-0.2749733,30.381546,33.7842866
229,34.16782,-0.2664918,34.6934929,34.6934929
230,34.56993,-0.1754863,24.2780361,24.2780361
231,34.45237,-0.14808,41.1544456,41.1544456
232,34.4543,-0.1934752,14.2988873,14.3719873
233,34.675628,-0.1246985,39.6113853,39.6113853
234,34.782678,-0.2559218,44.289875,40.7815222
235,34.8776235,-0.128549,33.2923622,33.2923622
236,34.4377,-0.2816316,25.9610672,25.9610672
237,34.56543,-0.1504083,30.5531559,30.5531559
238,34.6274,-0.219185,30.6280708,30.6280708
239,34.73321,-0.2879617,30.4792519,25.8138292
240,34.2806,-0.23567384,-1.3820229,-1.236229
241,34.2291,-0.26409568,14.8262291,15.672397
242,34.1776,-0.27234,12.192482,9.782982
243,34.11261,-0.28058,19.7712193,30.716781
244,34.20746,-0.28667,24.0684681,35.75373
245,34.30231,-0.136,11.878885,11.189233
246,34.39716,-0.28705,25.7814922,24.092922
247,34.49201,-0.33787,24.9735985,19.715781
248,34.58686,-0.32962,16.6154175,5.6154175
249,34.68171,-0.51776,19.8738117,14.786333
250,34.77656,-0.2749733,34.896373,25.093703
251,34.6883,-0.136,46.897378,38.63873
252,34.8431,-0.28705,45.2139473,40.6527897
253,34.6333,-0.33787,34.390749,31.3614979
254,34.1963,-0.32962,30.2175312,36.2872862
255,34.445,-0.51776,22.3694763,25.9862453
256,34.5773,-0.2749733,21.0827217,22.7652746
257,34.6762,-0.2664918,12.7136602,15.4874602
258,34.76276,-0.1754863,36.6833458,28.78627572
259,34.67268,-0.14808,36.1811638,38.8968926
260,34.23748,-0.1934752,28.3718758,28.6757247
261,34.3367,-0.1246985,35.7638616,37.9872681
262,34.22563,-0.2559218,20.2672768,21.7891798
263,34.7635,-0.128549,22.6752752,22.2849062
264,34.45276,-0.2816316,48.4146805,44.7881581
265,34.345289,-0.1504083,23.4221497,20.8827872
266,34.81456,-0.219185,23.6123867,23.6123867
267,34.3365,-0.2879617,35.7556686,33.5642622
268,34.34562,-0.23567384,45.352726,44.7652742
269,34.52675,-0.26409568,22.5919514,21.2264722
270,34.5672,-0.27234,19.7508106,20.992828
271,34.67734,-0.28058,29.3428097,29.3428097
272,34.452745,-0.28667,21.4241199,34.4241199
273,34.34366,-0.136,26.5408688,26.5408688
274,34.452567,-0.28705,32.2393388,32.8923988
275,34.6834,-0.33787,45.2395917,45.1595917
276,34.675372,-0.32962,30.381546,33.782866
277,34.34627,-0.51776,34.6934929,34.6934929
278,34.22376,-0.2749733,24.2780361,24.2780361
279,34.16782,-0.2664918,41.1544456,41.1544456
280,34.56993,-0.1754863,14.2988873,14.379873
281,34.45237,-0.14808,39.6113853,39.6113853
282,34.4543,-0.1934752,44.289875,40.785222
283,34.675628,-0.1246985,33.2923622,33.2923622
284,34.782678,-0.2559218,25.9610672,25.9610672
285,34.8776235,-0.128549,30.5531559,30.5531559
286,34.4377,-0.2816316,30.6280708,30.6280708
287,34.56543,-0.1504083,30.4792519,25.88292
288,34.6274,-0.219185,-1.3820229,-1.236229
289,34.73321,-0.2879617,17.8262291,12.672397
290,34.2806,-0.23567384,7.192482,6.782982
291,34.2291,-0.26409568,22.7712193,24.716781
292,34.1776,-0.27234,29.0684681,33.45373
293,34.11261,-0.28058,11.878885,11.189233
294,34.20746,-0.28667,25.7814922,24.092922
295,34.30231,-0.136,47.9735985,48.7815781
296,34.39716,-0.28705,16.6154175,5.6154175
297,34.49201,-0.33787,19.8738117,14.786333
298,34.58686,-0.32962,34.896373,25.093703
299,34.68171,-0.51776,51.897378,35.63873
300,34.77656,-0.2749733,45.2139473,40.6527897
301,34.6883,-0.136,34.390749,31.3614979
302,34.8431,-0.28705,30.2175312,36.2872862
303,34.6333,-0.33787,22.3694763,25.9862453
304,34.1963,-0.32962,21.0827217,22.7652746
305,34.445,-0.51776,12.7136602,15.4874602
306,34.5773,-0.2749733,36.6833458,28.78627572
307,34.6762,-0.2664918,36.1811638,38.8968926
308,34.76276,-0.1754863,28.3718758,28.6757247
309,34.67268,-0.14808,35.7638616,37.9872681
310,34.23748,-0.1934752,20.2672768,21.7891798
311,34.3367,-0.1246985,22.6752752,22.2849062
312,34.22563,-0.2559218,48.4146805,44.7881581
313,34.7635,-0.128549,23.4221497,20.8827872
314,34.45276,-0.2816316,23.6123867,23.6123867
315,34.345289,-0.1504083,35.7556686,33.5642622
316,34.81456,-0.219185,45.352726,44.7652742
317,34.3365,-0.2879617,22.5919514,21.2264722
318,34.34562,-0.23567384,19.7508106,20.992828
319,34.52675,-0.26409568,29.3428097,29.3428097
320,34.5672,-0.27234,21.4241199,34.4241199
321,34.67734,-0.28058,26.5408688,26.5408688
322,34.452745,-0.28667,32.2393388,32.8923988
323,34.34366,-0.136,45.2395917,45.1595917
324,34.452567,-0.28705,30.381546,33.782866
325,34.6834,-0.33787,34.6934929,34.6934929
326,34.675372,-0.32962,24.2780361,24.2780361
327,34.34627,-0.51776,41.1544456,41.1544456
328,34.22376,-0.2749733,14.2988873,14.379873
329,34.16782,-0.2664918,39.6113853,39.6113853
330,34.56993,-0.1754863,44.289875,40.785222
331,34.45237,-0.14808,33.2923622,33.2923622
332,34.4543,-0.1934752,25.9610672,25.9610672
333,34.675628,-0.1246985,30.5531559,30.5531559
334,34.782678,-0.2559218,30.6280708,30.6280708
335,34.8776235,-0.128549,30.4792519,25.88292
336,34.4377,-0.2816316,-1.3820229,-1.236229
337,34.56543,-0.1504083,14.8262291,15.672397
338,34.6274,-0.219185,13.192482,8.782982
339,34.73321,-0.2879617,20.7712193,24.016781
340,34.2806,-0.23567384,28.5684681,38.25373
341,34.2291,-0.26409568,11.878885,11.189233
342,34.1776,-0.27234,25.7814922,24.092922
343,34.11261,-0.28058,47.9735985,48.7815781
344,34.20746,-0.28667,16.6154175,5.6154175
345,34.30231,-0.136,19.8738117,14.786333
346,34.39716,-0.28705,35.896373,36.093703
347,34.49201,-0.33787,56.897378,37.63873
348,34.58686,-0.32962,45.2139473,40.6527897
349,34.68171,-0.51776,34.390749,31.3614979
350,34.77656,-0.2749733,30.2175312,36.2872862
351,34.6883,-0.136,22.3694763,25.9862453
352,34.8431,-0.28705,21.0827217,22.7652746
353,34.6333,-0.33787,12.7136602,15.4874602
354,34.1963,-0.32962,36.6833458,28.78627572
355,34.445,-0.51776,36.1811638,38.8968926
356,34.5773,-0.2749733,28.3718758,28.6757247
357,34.6762,-0.2664918,35.7638616,37.9872681
358,34.76276,-0.1754863,20.2672768,21.7891798
359,34.67268,-0.14808,22.6752752,22.2849062
360,34.23748,-0.1934752,48.4146805,44.7881581
361,34.3367,-0.1246985,23.4221497,20.8827872
362,34.22563,-0.2559218,23.6123867,23.6123867
363,34.7635,-0.128549,35.7556686,33.5642622
364,34.45276,-0.2816316,45.352726,44.7652742
365,34.345289,-0.1504083,22.5919514,21.2264722
366,34.81456,-0.219185,19.7508106,20.992828
367,34.3365,-0.2879617,29.3428097,29.3428097
368,34.34562,-0.23567384,21.4241199,34.4241199
369,34.52675,-0.26409568,26.5408688,26.5408688
370,34.5672,-0.27234,32.2393388,32.8923988
371,34.67734,-0.28058,45.2395917,45.1595917
372,34.452745,-0.28667,30.381546,33.782866
373,34.34366,-0.136,34.6934929,34.6934929
374,34.452567,-0.28705,24.2780361,24.2780361
375,34.6834,-0.33787,41.1544456,41.1544456
376,34.675372,-0.32962,14.2988873,14.379873
377,34.34627,-0.51776,39.6113853,39.6113853
378,34.22376,-0.2749733,44.289875,40.785222
379,34.16782,-0.2664918,33.2923622,33.2923622
380,34.56993,-0.1754863,25.9610672,25.9610672
381,34.45237,-0.14808,30.5531559,30.5531559
382,34.4543,-0.1934752,30.6280708,30.6280708
383,34.675628,-0.1246985,30.4792519,25.88292
384,34.782678,-0.2559218,-1.3820229,-1.236229
385,34.8776235,-0.128549,12.8262291,12.672397
386,34.4377,-0.2816316,6.192482,5.782982
387,34.56543,-0.1504083,20.7712193,28.716781
388,34.6274,-0.219185,23.0684681,35.75373
389,34.73321,-0.2879617,11.878885,11.189233
390,34.2806,-0.23567384,25.7814922,24.092922
391,34.2291,-0.26409568,47.9735985,48.7815781
392,34.1776,-0.27234,16.6154175,5.6154175
393,34.11261,-0.28058,19.8738117,14.786333
394,34.20746,-0.28667,36.896373,25.093703
395,34.30231,-0.136,55.897378,32.63873
396,34.39716,-0.28705,45.2139473,40.6527897
397,34.49201,-0.33787,34.390749,31.3614979
398,34.58686,-0.32962,30.2175312,36.2872862
399,34.68171,-0.51776,22.3694763,25.9862453
400,34.77656,-0.2749733,21.0827217,22.7652746
401,34.6883,-0.136,12.7136602,15.4874602
402,34.8431,-0.28705,36.6833458,28.78627572
403,34.6333,-0.33787,36.1811638,38.8968926
404,34.1963,-0.32962,28.3718758,28.6757247
405,34.445,-0.51776,35.7638616,37.9872681
406,34.5773,-0.2749733,20.2672768,21.7891798
407,34.6762,-0.2664918,22.6752752,22.2849062
408,34.76276,-0.1754863,48.4146805,44.7881581
409,34.67268,-0.14808,23.4221497,20.8827872
410,34.23748,-0.1934752,23.6123867,23.6123867
411,34.3367,-0.1246985,35.7556686,33.5642622
412,34.22563,-0.2559218,45.352726,44.7652742
413,34.7635,-0.128549,22.5919514,21.2264722
414,34.45276,-0.2816316,19.7508106,20.992828
415,34.345289,-0.1504083,29.3428097,29.3428097
416,34.81456,-0.219185,21.4241199,34.4241199
417,34.3365,-0.2879617,26.5408688,26.5408688
418,34.34562,-0.23567384,32.2393388,32.8923988
419,34.52675,-0.26409568,45.2395917,45.1595917
420,34.5672,-0.27234,30.381546,33.782866
421,34.67734,-0.28058,34.6934929,34.6934929
422,34.452745,-0.28667,24.2780361,24.2780361
423,34.34366,-0.136,41.1544456,41.1544456
424,34.452567,-0.28705,14.2988873,14.379873
425,34.6834,-0.33787,39.6113853,39.6113853
426,34.675372,-0.32962,44.289875,40.785222
427,34.34627,-0.51776,33.2923622,33.2923622
428,34.22376,-0.2749733,25.9610672,25.9610672
429,34.16782,-0.2664918,30.5531559,30.5531559
430,34.56993,-0.1754863,30.6280708,30.6280708
431,34.45237,-0.14808,30.4792519,25.88292
432,34.4543,-0.1934752,-1.3820229,-1.236229
433,34.675628,-0.1246985,12.8262291,13.672397
434,34.782678,-0.2559218,10.192482,4.782982
435,34.8776235,-0.128549,22.7712193,31.716781
436,34.4377,-0.2816316,25.0684681,38.23373
437,34.56543,-0.1504083,11.878885,11.189233
438,34.6274,-0.219185,25.7814922,24.092922
439,34.73321,-0.2879617,47.9735985,48.7815781
440,34.2806,-0.23567384,16.6154175,5.6154175
441,34.2291,-0.26409568,19.8738117,14.786333
442,34.1776,-0.27234,36.896373,26.093703
443,34.11261,-0.28058,52.897378,35.63873
444,34.20746,-0.28667,45.2139473,40.6527897
445,34.30231,-0.136,34.390749,31.3614979
446,34.39716,-0.28705,30.2175312,36.2872862
447,34.49201,-0.33787,22.3694763,25.9862453
448,34.58686,-0.32962,21.0827217,22.7652746
449,34.68171,-0.51776,12.7136602,15.4874602
450,34.77656,-0.2749733,36.6833458,28.78627572
451,34.6883,-0.136,36.1811638,38.8968926
452,34.8431,-0.28705,28.3718758,28.6757247
453,34.6333,-0.33787,35.7638616,37.9872681
454,34.1963,-0.32962,20.2672768,21.7891798
455,34.445,-0.51776,22.6752752,22.2849062
456,34.5773,-0.2749733,48.4146805,44.7881581
457,34.6762,-0.2664918,23.4221497,20.8827872
458,34.76276,-0.1754863,23.6123867,23.6123867
459,34.67268,-0.14808,35.7556686,33.5642622
460,34.23748,-0.1934752,45.352726,44.7652742
461,34.3367,-0.1246985,22.5919514,21.2264722
462,34.22563,-0.2559218,19.7508106,20.992828
463,34.7635,-0.128549,29.3428097,29.3428097
464,34.45276,-0.2816316,21.4241199,34.4241199
465,34.345289,-0.1504083,26.5408688,26.5408688
466,34.81456,-0.219185,32.2393388,32.8923988
467,34.3365,-0.2879617,45.2395917,45.1595917
468,34.34562,-0.23567384,30.381546,33.782866
469,34.52675,-0.26409568,34.6934929,34.6934929
470,34.5672,-0.27234,24.2780361,24.2780361
471,34.67734,-0.28058,41.1544456,41.1544456
472,34.452745,-0.28667,14.2988873,14.379873
473,34.34366,-0.136,39.6113853,39.6113853
474,34.452567,-0.28705,44.289875,40.785222
475,34.6834,-0.33787,33.2923622,33.2923622
476,34.675372,-0.32962,25.9610672,25.9610672
477,34.34627,-0.51776,30.5531559,30.5531559
478,34.22376,-0.2749733,30.6280708,30.6280708
479,34.16782,-0.2664918,30.4792519,25.88292
480,34.56993,-0.1754863,-1.3820229,-1.236229
481,34.45237,-0.14808,10.8262291,6.672397
482,34.4543,-0.1934752,10.192482,5.782982
483,34.675628,-0.1246985,23.7712193,35.716781
484,34.782678,-0.2559218,31.0684681,33.75373
485,34.8776235,-0.128549,11.878885,11.189233
486,34.4377,-0.2816316,25.7814922,24.092922
487,34.56543,-0.1504083,47.9735985,48.7815781
488,34.6274,-0.219185,16.6154175,5.6154175
489,34.73321,-0.2879617,19.8738117,14.786333
490,34.2806,-0.23567384,38.896373,32.093703
491,34.2291,-0.26409568,41.897378,24.63873
492,34.1776,-0.27234,45.2139473,40.6527897
493,34.11261,-0.28058,34.390749,31.3614979
494,34.20746,-0.28667,30.2175312,36.2872862
495,34.30231,-0.136,22.3694763,25.9862453
496,34.39716,-0.28705,21.0827217,22.7652746
497,34.49201,-0.33787,12.7136602,15.4874602
498,34.58686,-0.32962,36.6833458,28.78627572
499,34.68171,-0.51776,36.1811638,38.8968926
500,34.77656,-0.2749733,28.3718758,28.6757247
501,34.6883,-0.136,35.7638616,37.9872681
502,34.8431,-0.28705,20.2672768,21.7891798
503,34.6333,-0.33787,22.6752752,22.2849062
504,34.1963,-0.32962,48.4146805,44.7881581
505,34.445,-0.51776,23.4221497,20.8827872
506,34.5773,-0.2749733,23.6123867,23.6123867
507,34.6762,-0.2664918,35.7556686,33.5642622
508,34.76276,-0.1754863,45.352726,44.7652742
509,34.67268,-0.14808,22.5919514,21.2264722
510,34.23748,-0.1934752,19.7508106,20.992828
511,34.3367,-0.1246985,29.3428097,29.3428097
512,34.22563,-0.2559218,21.4241199,34.4241199
513,34.7635,-0.128549,26.5408688,26.5408688
514,34.45276,-0.2816316,32.2393388,32.8923988
515,34.345289,-0.1504083,45.2395917,45.1595917
516,34.81456,-0.219185,30.381546,33.782866
517,34.3365,-0.2879617,34.6934929,34.6934929
518,34.34562,-0.23567384,24.2780361,24.2780361
519,34.52675,-0.26409568,41.1544456,41.1544456
520,34.5672,-0.27234,14.2988873,14.379873
521,34.67734,-0.28058,39.6113853,39.6113853
522,34.452745,-0.28667,44.289875,40.785222
523,34.34366,-0.136,33.2923622,33.2923622
524,34.452567,-0.28705,25.9610672,25.9610672
525,34.6834,-0.33787,30.5531559,30.5531559
526,34.675372,-0.32962,30.6280708,30.6280708
527,34.34627,-0.51776,30.4792519,25.88292
528,34.22376,-0.2749733,-1.3820229,-1.236229
529,34.16782,-0.2664918,9.8262291,10.672397
530,34.56993,-0.1754863,5.192482,4.782982
531,34.45237,-0.14808,30.7712193,32.716781
532,34.4543,-0.1934752,27.0684681,37.75373
533,34.675628,-0.1246985,11.878885,11.189233
534,34.782678,-0.2559218,29.78356,41.092922
535,34.8776235,-0.128549,47.9735985,48.7815781
536,34.4377,-0.2816316,16.6154175,5.6154175
537,34.56543,-0.1504083,19.8738117,14.786333
538,34.6274,-0.219185,33.896373,35.093703
539,34.73321,-0.2879617,39.897378,30.863873
540,34.2806,-0.23567384,45.2139473,40.6527897
541,34.2291,-0.26409568,34.390749,31.3614979
542,34.1776,-0.27234,30.2175312,36.2872862
543,34.11261,-0.28058,22.3694763,25.9862453
544,34.20746,-0.28667,21.0827217,22.7652746
545,34.30231,-0.136,12.7136602,15.4874602
546,34.39716,-0.28705,36.6833458,28.7867572
547,34.49201,-0.33787,36.1811638,38.8968926
548,34.58686,-0.32962,28.3718758,28.6757247
549,34.68171,-0.51776,35.7638616,37.9872681
550,34.77656,-0.2749733,20.2672768,21.7891798
551,34.6883,-0.136,22.6752752,22.2849062
552,34.8431,-0.28705,48.4146805,44.7881581
553,34.6333,-0.33787,23.4221497,20.8827872
554,34.1963,-0.32962,23.6123867,23.6123867
555,34.445,-0.51776,35.7556686,33.5642622
556,34.5773,-0.2749733,45.352726,44.7652742
557,34.6762,-0.2664918,22.5919514,21.2264722
558,34.76276,-0.1754863,19.7508106,20.992828
