Date,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
,34.675628,-0.1246985,17.31205408,18.5408082
,34.782678,-0.2559218,22.8923988,20.1923988
,34.8776235,-0.128549,25.1595917,23.225917
,34.4377,-0.2816316,0.381546,0.2338153
,34.56543,-0.1504083,14.6934929,12.6934202
,34.6274,-0.219185,22.4241199,24.2780361
,34.73321,-0.2879617,22.1544456,21.145609
,34.2806,-0.23567384,15.2988873,16.12089
,34.2291,-0.26409568,29.6113853,27.613542
,34.1776,-0.27234,24.289875,23.557345
,34.11261,-0.28058,6.92223622,7.175222
,34.20746,-0.28667,25.9610672,22.7610672
,34.30231,-0.136,20.5531559,19.2532259
,34.39716,-0.28705,30.6280708,30.0280454
,34.49201,-0.33787,13.4792519,12.4792519
,34.58686,-0.32962,17.3820229,18.620229
,34.68171,-0.51776,20.697389,25.98292
,34.77656,-0.2749733,24.6757389,22.099722
,34.6883,-0.136,25.8262291,24.672397
,34.8431,-0.28705,28.042753,27.782982
,34.6333,-0.33787,20.7712193,20.49827
,34.1963,-0.32962,7.068149,7.06841
,34.445,-0.51776,30.1888885,30.1587151
,34.5773,-0.2749733,24.7814922,24.2214922
,34.6762,-0.2664918,27.9735985,25.7815781
,34.76276,-0.1754863,25.6154175,27.6152195
,34.67268,-0.14808,19.8738117,20.9871896
,34.23748,-0.1934752,22.8110428,21.880287
,34.3367,-0.1246985,29.3831978,29.7876385
,34.22563,-0.2559218,23.2139473,21.6527897
